Episode = 0, Score = -385.0366165318886, Avg_Score = -385.0366165318886
Episode = 1, Score = -357.6083180469644, Avg_Score = -321.3224672894265
Episode = 2, Score = -388.3638059990804, Avg_Score = -377.0029135259778
Episode = 3, Score = -130.84142130624372, Avg_Score = -365.4625404710443
Episode = 4, Score = -315.58918159660084, Avg_Score = -335.4878686961556
Episode = 5, Score = 143.6288538236983, Avg_Score = -338.9684149428466
Episode = 6, Score = -370.9393055010323, Avg_Score = -343.5356850225874
Episode = 7, Score = -116.22574292277896, Avg_Score = -315.1219422601114
Episode = 8, Score = -193.31240125302133, Avg_Score = -301.5875488148792
Episode = 9, Score = -230.81236068218803, Avg_Score = -294.51003000161006
Episode = 10, Score = -101.68053111118624, Avg_Score = -276.9800755570261
Episode = 11, Score = -231.0511741846404, Avg_Score = -273.1526671093273
Episode = 12, Score = -263.01477735959315, Avg_Score = -272.3728294362708
Episode = 13, Score = -194.2587778852997, Avg_Score = -266.79325432548717
Episode = 14, Score = -223.28341826938004, Avg_Score = -263.89259858841336
Episode = 15, Score = -162.8463652472244, Avg_Score = -257.577209004589
Episode = 16, Score = -180.37419189094007, Avg_Score = -253.0358550567273
Episode = 17, Score = -189.7379853811321, Avg_Score = -249.51930674141644
Episode = 18, Score = -241.74024492735404, Avg_Score = -249.10988243541314
Episode = 19, Score = -221.542076777278, Avg_Score = -247.7314921525064
Episode = 20, Score = -168.65522950229564, Avg_Score = -243.9659558358297
Episode = 21, Score = -143.30661056560365, Avg_Score = -239.39053105081942
Episode = 22, Score = -169.54947346109242, Avg_Score = -236.35396332952695
Episode = 23, Score = -248.49954088476753, Avg_Score = -236.86002906099532
Episode = 24, Score = -230.57774999253306, Avg_Score = -236.60873789825683
Episode = 25, Score = -227.18109991456353, Avg_Score = -236.24613643734557
Episode = 26, Score = -191.5369051748098, Avg_Score = -234.59023898317756
Episode = 27, Score = -100.55138988736131, Avg_Score = -229.80313722975555
Episode = 28, Score = -288.9222227036639, Avg_Score = -231.84172638402825
Episode = 29, Score = -154.09619651412092, Avg_Score = -229.250208721698
Episode = 30, Score = -201.95542341833595, Avg_Score = -228.36973177642824
Episode = 31, Score = -155.31952245140013, Avg_Score = -226.08691273502114
Episode = 32, Score = -291.6245047907915, Avg_Score = -228.0729003730748
Episode = 33, Score = -61.08959067090885, Avg_Score = -223.16162655830522
Episode = 34, Score = -137.50973344204243, Avg_Score = -220.71442961212628
Episode = 35, Score = -274.8015429027888, Avg_Score = -222.2168494257558
Episode = 36, Score = -123.81278433563838, Avg_Score = -219.55728009899588
Episode = 37, Score = -199.69503894915204, Avg_Score = -219.03458954242103
Episode = 38, Score = -228.2102201225561, Avg_Score = -219.26986212139883
Episode = 39, Score = -617.5028917796801, Avg_Score = -229.22568786285584
Episode = 40, Score = -181.89861924011635, Avg_Score = -228.07136911595975
Episode = 41, Score = -212.131538065543, Avg_Score = -227.69184932904508
Episode = 42, Score = -471.6066341397805, Avg_Score = -233.36428618510868
Episode = 43, Score = -220.29201698963197, Avg_Score = -233.06718915793874
Episode = 44, Score = -321.80743337473245, Avg_Score = -235.0391945849786
Episode = 45, Score = -506.52142523196676, Avg_Score = -240.9409822077392
Episode = 46, Score = -334.5619030833508, Avg_Score = -242.93291669445438
Episode = 47, Score = -263.4873798055962, Avg_Score = -243.36113467593648
Episode = 48, Score = -232.43143496750136, Avg_Score = -243.13807957984596
Episode = 49, Score = -187.76288028876115, Avg_Score = -242.03057559402427
Episode = 50, Score = -202.27316289051072, Avg_Score = -241.2510184821907
Episode = 51, Score = -205.27726073188154, Avg_Score = -240.5592154485309
Episode = 52, Score = -217.60080394172388, Avg_Score = -240.1260378729308
Episode = 53, Score = -197.5859513392286, Avg_Score = -239.33825849267703
Episode = 54, Score = -188.66109725304824, Avg_Score = -238.4168555610474
Episode = 55, Score = -222.55829224000715, Avg_Score = -238.13366693031455
Episode = 56, Score = -177.39897141076233, Avg_Score = -237.0681459562873
Episode = 57, Score = -144.4684528221374, Avg_Score = -235.4715995229399
Episode = 58, Score = -202.98482460119004, Avg_Score = -234.92097621918143
Episode = 59, Score = -108.48836688477684, Avg_Score = -232.813766063608
Episode = 60, Score = -180.51224887538012, Avg_Score = -231.95636414248952
Episode = 61, Score = -137.09060286571776, Avg_Score = -230.42627121867062
Episode = 62, Score = -309.0860944230658, Avg_Score = -231.6748398409626
Episode = 63, Score = -188.88562863434612, Avg_Score = -231.00625841585924
Episode = 64, Score = -193.76848948335282, Avg_Score = -230.43336966305145
Episode = 66, Score = -544.3742570722852, Avg_Score = -235.19004977531256
Episode = 67, Score = -267.49209330464754, Avg_Score = -235.6721698279892
Episode = 68, Score = -288.62167628776126, Avg_Score = -236.4508390406329
Episode = 69, Score = -191.3997748916405, Avg_Score = -235.7979250674591
Episode = 70, Score = -164.3241304417452, Avg_Score = -234.77687085852034
Episode = 71, Score = -283.86803725757704, Avg_Score = -235.4682957373803
Episode = 72, Score = -112.83507613401018, Avg_Score = -233.76505657622238
