Episode = 0, Score = -228.2926043101375, Avg_Score = -228.2926043101375
Episode = 1, Score = -340.9991640525898, Avg_Score = -284.6458841813636
Episode = 2, Score = -536.5840684744433, Avg_Score = -368.6252789457235
Episode = 3, Score = -322.73237065676324, Avg_Score = -357.1520518734834
Episode = 4, Score = -111.70329265080773, Avg_Score = -308.06230002894824
Episode = 5, Score = -379.0144465042352, Avg_Score = -319.8876577748294
Episode = 7, Score = 10.377229535398783, Avg_Score = -272.70695958765396
Episode = 8, Score = -457.45859658674306, Avg_Score = -295.8009142125401
Episode = 9, Score = -166.72917887877475, Avg_Score = -281.45961028656615
Episode = 10, Score = -111.75046451922529, Avg_Score = -264.4886957098321
Episode = 11, Score = -38.08333450904402, Avg_Score = -243.90639014612407
Episode = 12, Score = 239.14173963107456, Avg_Score = -203.65237933135754
Episode = 13, Score = 202.2229929800074, Avg_Score = -172.43119684586793
Episode = 14, Score = 159.71183040849323, Avg_Score = -148.70669489912783
Episode = 15, Score = 214.87781331536365, Avg_Score = -124.46772768482839
Episode = 16, Score = 238.4499872569795, Avg_Score = -101.78537050096541
Episode = 17, Score = 241.03743077443625, Avg_Score = -81.61932336711826
Episode = 18, Score = 205.26645664723733, Avg_Score = -65.68122447743184
Episode = 19, Score = 225.76893679071804, Avg_Score = -50.34174230542394
Episode = 20, Score = 264.2673955460051, Avg_Score = -34.611285412852496
Episode = 21, Score = -469.17249208437465, Avg_Score = -55.3046762067345
Episode = 22, Score = 207.081466043746, Avg_Score = -43.3780333771672
Episode = 23, Score = 227.99691884401352, Avg_Score = -31.57912241102891
Episode = 24, Score = 220.3210827122534, Avg_Score = -21.083280530892154
Episode = 25, Score = 19.610929173135673, Avg_Score = -19.455512142731042
Episode = 26, Score = -54.97469925399665, Avg_Score = -20.821634723933563
Episode = 27, Score = 10.562509720630445, Avg_Score = -19.659259003764525
Episode = 28, Score = 217.97932068831898, Avg_Score = -11.172166871904398
Episode = 29, Score = 262.2201039300159, Avg_Score = -1.7448471890795605
Episode = 30, Score = 243.6267914504454, Avg_Score = 6.434207432237939
Episode = 31, Score = -102.62236782769163, Avg_Score = 2.916253391595049
Episode = 32, Score = 239.4989434228018, Avg_Score = 10.309462455070262
Episode = 33, Score = 202.69193828438122, Avg_Score = 16.139234449897867
Episode = 34, Score = -60.796176291042045, Avg_Score = 13.876428251634929
Episode = 35, Score = 276.7636689488647, Avg_Score = 21.38749227155578
Episode = 36, Score = 247.0738473698043, Avg_Score = 27.656557690951573
Episode = 37, Score = 183.1830997366286, Avg_Score = 31.859977746240144
Episode = 38, Score = 245.95437953418275, Avg_Score = 37.494040951186
Episode = 39, Score = 205.86123999955268, Avg_Score = 41.81114861909284
Episode = 40, Score = -43.020634547516735, Avg_Score = 39.6903540399276
Episode = 41, Score = -49.71089208088905, Avg_Score = 37.509835841858894
Episode = 42, Score = 226.923572578293, Avg_Score = 42.0196867165359
Episode = 43, Score = 5.29348156337899, Avg_Score = 41.165588922276434
Episode = 44, Score = 223.99124655866538, Avg_Score = 45.32071750492164
Episode = 45, Score = -161.35521200738754, Avg_Score = 40.727919071314766
Episode = 46, Score = 185.56743117070144, Avg_Score = 43.87660411695361
Episode = 47, Score = -28.43808472917162, Avg_Score = 42.33799371597222
Episode = 48, Score = 279.2568509356182, Avg_Score = 47.27380324138151
Episode = 49, Score = 245.04503319278936, Avg_Score = 51.309950791410245
Episode = 50, Score = 240.16817286273113, Avg_Score = 55.08711523283666
Episode = 51, Score = 223.07188609623495, Avg_Score = 58.38093426937388
Episode = 52, Score = 274.21179229238015, Avg_Score = 62.53152769289324
Episode = 53, Score = -38.07133910674396, Avg_Score = 60.63336039478688
Episode = 54, Score = 252.95843896862797, Avg_Score = 64.19493592393208
Episode = 55, Score = 185.115337069139, Avg_Score = 66.39348867202675
Episode = 56, Score = -8.92431579434394, Avg_Score = 65.04852787798441
Episode = 57, Score = -26.32040658333645, Avg_Score = 63.4455641155051
Episode = 58, Score = 181.1081619516632, Avg_Score = 65.47422959543886
Episode = 59, Score = -448.07350416495484, Avg_Score = 56.77003071814405
Episode = 60, Score = 56.56066880502976, Avg_Score = 56.76654135292548
Episode = 61, Score = 217.29720341634197, Avg_Score = 59.3981915506864
Episode = 62, Score = 152.10756744647745, Avg_Score = 60.89350406513464
Episode = 63, Score = -91.39820160565148, Avg_Score = 58.47617540369359
Episode = 64, Score = 202.96278363311373, Avg_Score = 60.73377865727829
Episode = 65, Score = 156.37123318245966, Avg_Score = 62.20512411151185
Episode = 66, Score = 214.99655411125204, Avg_Score = 64.52014577817458
Episode = 67, Score = 123.79126218666552, Avg_Score = 65.40478930665951
Episode = 68, Score = 220.33740366660788, Avg_Score = 67.68321010607053
Episode = 69, Score = -62.47592596644681, Avg_Score = 65.79684581516447
Episode = 70, Score = 300.19787457943426, Avg_Score = 69.14543194036833
Episode = 71, Score = 251.24059696563634, Avg_Score = 71.71015257452703
Episode = 72, Score = 52.24392530389261, Avg_Score = 71.43978830687934
Episode = 73, Score = 275.1939654778922, Avg_Score = 74.23094141881103
Episode = 74, Score = 222.53234716144215, Avg_Score = 76.23501446938712
Episode = 75, Score = -166.4620390099046, Avg_Score = 72.9990537563299
Episode = 76, Score = 242.3121245666916, Avg_Score = 75.22685731962413
Episode = 77, Score = 16.027359410820978, Avg_Score = 74.45803267145786
Episode = 78, Score = -45.978360038704125, Avg_Score = 72.9139763546609
Episode = 79, Score = 282.8837768408195, Avg_Score = 75.57182193043506
Episode = 80, Score = 253.24326659026025, Avg_Score = 77.79271498868289
Episode = 81, Score = 254.88206721303607, Avg_Score = 79.97900328774897
Episode = 82, Score = 219.18077331040251, Avg_Score = 81.67658584900084
Episode = 83, Score = 228.44366379768678, Avg_Score = 83.44486389657537
Episode = 84, Score = 197.13770001085555, Avg_Score = 84.798350040793
Episode = 85, Score = 242.8808965614017, Avg_Score = 86.65814470574134
Episode = 86, Score = 250.63711615005042, Avg_Score = 88.56487693183794
Episode = 87, Score = 253.85377040063173, Avg_Score = 90.46474927055972
Episode = 88, Score = 233.195393947454, Avg_Score = 92.08668841461532
Episode = 89, Score = 253.7439997965609, Avg_Score = 93.90306269980573
Episode = 90, Score = 276.94544193524575, Avg_Score = 95.93686691353285
Episode = 91, Score = 216.97095186270576, Avg_Score = 97.2669118030842
Episode = 92, Score = 243.79783585332495, Avg_Score = 98.85963923841291
Episode = 93, Score = 240.70836688299346, Avg_Score = 100.38489437437613
Episode = 94, Score = -15.514220360819436, Avg_Score = 99.15192506868257
Episode = 95, Score = -13.907098290607792, Avg_Score = 97.96183008595318
Episode = 96, Score = -200.10053196976375, Avg_Score = 94.85701381453946
Episode = 97, Score = 266.93927853538986, Avg_Score = 96.63105778073378
Episode = 98, Score = -15.909843606120987, Avg_Score = 95.48268123596996
Episode = 99, Score = -10.711716037545159, Avg_Score = 94.4100105564395
Episode = 100, Score = 185.53625006242441, Avg_Score = 95.32127295149935
